"Type","Start","End","Duration","Start Condition","Start Location","End Condition","Notes"
"Feed","2024-08-23 08:49","2024-08-23 09:20","00:30","00:19R","Breast","00:11L",
"Sleep","2024-08-23 06:29","2024-08-23 08:34","02:04",,,,
"Feed","2024-08-23 05:26","2024-08-23 06:06","00:40","00:10R","Breast","00:30L",
"Diaper","2024-08-23 05:12",,,,,"Pee",
"Sleep","2024-08-23 01:12","2024-08-23 05:05","03:53",,,,
"Feed","2024-08-23 00:38","2024-08-23 01:07","00:28","00:28R","Breast","Null l",
"Diaper","2024-08-23 00:33",,,,,"Both",
"Sleep","2024-08-22 22:00","2024-08-23 00:30","02:30",,,,
"Diaper","2024-08-22 21:27",,,,,"Both",
"Feed","2024-08-22 20:19","2024-08-22 21:20","01:01","00:37R","Breast","00:24L",
"Sleep","2024-08-22 19:14","2024-08-22 19:57","00:43",,,,
"Sleep","2024-08-22 17:26","2024-08-22 18:23","00:56",,,,
"Diaper","2024-08-22 17:00",,,,,"Poo",
"Feed","2024-08-22 16:04","2024-08-22 16:44","00:40","00:28R","Breast","00:11L",
"Diaper","2024-08-22 15:49",,,,,"Pee",
"Sleep","2024-08-22 15:30","2024-08-22 15:45","00:15",,,,
"Feed","2024-08-22 14:28","2024-08-22 14:42","00:14","00:14R","Breast","Null l",
"Diaper","2024-08-22 13:43",,,,,"Pee",
"Sleep","2024-08-22 13:04","2024-08-22 13:36","00:32",,,,
"Feed","2024-08-22 11:29","2024-08-22 12:15","00:45","00:24R","Breast","00:20L",
"Diaper","2024-08-22 10:45",,,,,"Pee",
"Feed","2024-08-22 09:55","2024-08-22 10:31","00:35","Null r","Breast","00:35L",
"Diaper","2024-08-22 09:36",,,,,"Pee",
"Sleep","2024-08-22 07:56","2024-08-22 09:22","01:25",,,,
"Feed","2024-08-22 07:00","2024-08-22 07:32","00:31","00:31R","Breast","Null l",
"Diaper","2024-08-22 06:40",,,,,"Both",
"Sleep","2024-08-22 03:37","2024-08-22 06:03","02:26",,,,
"Feed","2024-08-22 03:05","2024-08-22 03:28","00:22","00:22R","Breast","Null l",
"Diaper","2024-08-22 02:56",,,,,"Poo",
"Feed","2024-08-22 02:11","2024-08-22 02:46","00:35","00:14R","Breast","00:21L",
"Diaper","2024-08-22 02:04",,,,,"Pee",
"Sleep","2024-08-21 23:11","2024-08-22 01:57","02:45",,,,
"Feed","2024-08-21 21:58","2024-08-21 22:38","00:39","00:22R","Breast","00:17L",
"Diaper","2024-08-21 21:40",,,,,"Pee",
"Sleep","2024-08-21 20:00","2024-08-21 21:38","01:38",,,,
"Sleep","2024-08-21 19:25","2024-08-21 19:55","00:30",,,,
"Feed","2024-08-21 18:32","2024-08-21 19:16","00:43","00:26R","Breast","00:16L",
"Diaper","2024-08-21 18:23",,,,,"Pee",
"Sleep","2024-08-21 16:36","2024-08-21 18:22","01:45",,,,
"Diaper","2024-08-21 16:21",,,,,"Pee",
"Feed","2024-08-21 15:11","2024-08-21 16:10","00:58","00:31R","Breast","00:26L",
"Diaper","2024-08-21 15:00",,,,,"Both",
"Diaper","2024-08-21 14:25",,,,,"Poo",
"Sleep","2024-08-21 14:12","2024-08-21 14:17","00:05",,,,
"Feed","2024-08-21 13:47","2024-08-21 14:11","00:23","00:23R","Breast","Null l",
"Diaper","2024-08-21 13:24",,,,,"Pee",
"Sleep","2024-08-21 11:27","2024-08-21 13:15","01:48",,,,
"Feed","2024-08-21 11:00","2024-08-21 11:26","00:26","Null r","Breast","00:26L",
"Diaper","2024-08-21 10:35",,,,,"Pee",
"Sleep","2024-08-21 10:00","2024-08-21 10:30","00:30",,,,
"Diaper","2024-08-21 08:45",,,,,"Pee",
"Sleep","2024-08-21 08:30","2024-08-21 08:55","00:25",,,,
"Feed","2024-08-21 07:41","2024-08-21 08:05","00:23","00:23R","Breast","Null l",
"Potty","2024-08-21 07:33",,,,,"Pee",
"Feed","2024-08-21 06:15","2024-08-21 06:58","00:43","00:22R","Breast","00:20L",
"Diaper","2024-08-21 05:45",,,,,"Both",
"Sleep","2024-08-21 04:27","2024-08-21 05:31","01:04",,,,
"Feed","2024-08-21 03:37","2024-08-21 04:17","00:40","00:20R","Breast","00:19L",
"Sleep","2024-08-20 23:57","2024-08-21 03:32","03:35",,,,
"Feed","2024-08-20 22:47","2024-08-20 23:36","00:49","00:37R","Breast","00:11L",
"Diaper","2024-08-20 22:35",,,,,"Pee",
"Sleep","2024-08-20 19:58","2024-08-20 22:34","02:36",,,,
"Feed","2024-08-20 18:44","2024-08-20 19:53","01:09","00:17R","Breast","00:52L",
"Diaper","2024-08-20 18:42",,,,,"Pee",
"Sleep","2024-08-20 16:52","2024-08-20 18:20","01:27",,,,
"Diaper","2024-08-20 16:00",,,,,"Both",
"Sleep","2024-08-20 15:15","2024-08-20 15:29","00:14",,,,
"Feed","2024-08-20 14:30","2024-08-20 15:07","00:36","00:36R","Breast","Null l",
"Diaper","2024-08-20 14:15",,,,,"Both",
"Sleep","2024-08-20 11:58","2024-08-20 14:11","02:13",,,,
"Feed","2024-08-20 11:13","2024-08-20 11:38","00:24","Null r","Breast","00:24L",
